datum,typ,vad_gjorde_jag,blockerare,nasta_steg,relaterat,anteckning_eller_lank
2026-09-04,Planering,"Projektstart och genomgång av grupparbetet Awesome Journal. Gick igenom möjliga ansvarsområden som crypto & liggare, P2P-nätverk, backend API & authentication och frontend.","Behövde bestämma vilken del av projektet jag skulle ansvara för.","Bestämma ansvarsområde och börja sätta mig in i uppgifterna.","Awesome Journal","Projektstart och ansvarsfördelning."
2026-09-05,Planering,"Tog ansvar för Backend API & Authentication (Task 11 / GitHub Issue #13) samt Medical Notes (Task 14). Gick igenom kraven för backenddelen och projektets struktur.","Behövde förstå beroenden och avgränsa backend från frontend.","Börja implementera autentisering och API-struktur.","Task 11 / Issue #13; Task 14","Mitt huvudfokus blev backend."
2026-09-06,Utveckling,"Arbetade vidare med projektets backendstruktur och förberedelser för autentisering och API-routes.","Projektets olika tasks och beroenden behövde hållas isär.","Fortsätta med autentisering och tester.","Task 11 / Issue #13","Backend API & Authentication."
2026-09-07,Utveckling,"Fortsatte arbetet med backend och autentisering samt gick igenom hur roller och skyddade endpoints skulle fungera.","Behövde säkerställa att rollhanteringen följde projektets fem roller.","Implementera och testa login samt rollhantering.","Task 11 / Issue #13","Roller: doctor, nurse, ambulance, patient och unauthorized."
2026-09-08,Utveckling,"Arbetade med POST /api/auth/login. Implementerade användarsökning med Prisma, bcrypt-verifiering, JWT och httpOnly-cookie. Arbetade även med Playwright-test för login.","Problem med lokal utvecklingsmiljö, Docker/PostgreSQL, virtualisering och testkörning. Fick även problem med 501-svar och testkonfiguration.","Få login-testet stabilt och fortsätta med resterande autentisering.","Task 11 / Issue #13","Arbetade på branch 13-11---backend-api-authentication. Docker/Postgres fungerade efter att virtualisering och miljön fixats."
2026-09-09,Testning,"Fortsatte med Backend API & Authentication. Arbetade med autentiseringstester och kontrollerade att olika användarroller loggas in med rätt roll.","Tester behövde justeras för att fungera med projektets API och testmiljö.","Färdigställa auth-funktionerna och få testerna gröna.","Task 11 / Issue #13","Playwright användes för E2E/API-tester."
2026-09-10,Utveckling,"Fortsatte implementera och testa autentiseringsdelen. Login fungerade med bcrypt, JWT och httpOnly-cookie och tester för de olika rollerna arbetades igenom.","Vissa tester och routes behövde korrigeras innan hela auth-delen fungerade stabilt.","Fortsätta med logout, /api/auth/me och behörighetskontroller.","Task 11 / Issue #13","Backenddelen prioriterades eftersom frontend görs av en annan gruppmedlem."
2026-09-11,Utveckling,"Arbetade vidare med logout, /api/auth/me och server-side autentisering. Kontrollerade requireRole() och hur skyddade endpoints ska hantera roller.","Behövde skilja på funktionalitet som hör till Task 11 och funktionalitet som hör till senare tasks.","Slutföra RBAC och säkerhetsfunktionerna för Task 11.","Task 11 / Issue #13","Task 13 patientsökning och Task 14 journaler/notes ska hållas separata från Task 11."
2026-09-12,Testning,"Arbetade med Playwright-tester för autentisering och roller. Verifierade login för doctor, nurse, ambulance, patient och unauthorized.","En del tester och implementationer behövde justeras för att ge rätt HTTP-status och behörighet.","Få hela auth-testsuiten grön.","Task 11 / Issue #13","Tester för autentisering och RBAC."
2026-09-13,Utveckling,"Fortsatte med säkerhetsdelen i Task 11. Arbetade med rate limiting för login och konsekventa API-svar via ok() och fail().","Behövde säkerställa att rate limiting fungerade utan att påverka normala inloggningar.","Testa rate limiting och fortsätta med CORS.","Task 11 / Issue #13","API:t använder gemensam struktur för success- och error-svar."
